DATETIME,ShortwavFlux2003-2023,Transpiration2003-2023
01/09/2008,211.72,29.23
01/10/2008,166.07,28.20
01/11/2008,97.66,10.74
01/12/2008,80.76,1.41
01/01/2009,96.64,0.08
01/02/2009,141.11,0.00
01/03/2009,169.32,0.14
01/04/2009,212.59,1.53
01/05/2009,248.69,10.83
01/06/2009,272.09,30.24
01/07/2009,282.49,49.75
01/08/2009,241.94,32.75
01/09/2009,203.67,36.92
01/10/2009,140.45,24.78
01/11/2009,93.07,11.21
01/12/2009,85.19,1.58
01/01/2010,97.67,0.11
01/02/2010,128.77,0.01
01/03/2010,170.04,0.00
01/04/2010,252.74,1.87
01/05/2010,266.82,12.30
01/06/2010,293.60,34.78
01/07/2010,289.38,43.09
01/08/2010,255.21,45.08
01/09/2010,218.58,38.96
01/10/2010,159.80,24.38
01/11/2010,119.18,12.51
01/12/2010,81.67,1.07
01/01/2011,94.49,0.01
01/02/2011,138.27,0.00
01/03/2011,177.11,0.15
01/04/2011,218.77,1.50
01/05/2011,258.47,12.09
01/06/2011,282.61,35.14
01/07/2011,280.98,38.65
01/08/2011,255.55,44.67
01/09/2011,175.97,36.05
01/10/2011,147.24,22.02
01/11/2011,112.10,8.58
01/12/2011,87.88,1.04
01/01/2012,100.95,0.13
01/02/2012,140.89,0.06
01/03/2012,194.32,0.24
01/04/2012,246.69,4.25
01/05/2012,266.83,8.14
01/06/2012,309.63,40.12
01/07/2012,272.38,37.41
01/08/2012,235.89,40.15
01/09/2012,202.22,32.18
01/10/2012,148.14,28.59
01/11/2012,117.37,10.58
01/12/2012,76.54,0.57
01/01/2013,95.71,0.26
01/02/2013,120.92,0.06
01/03/2013,168.91,0.07
01/04/2013,244.35,0.45
01/05/2013,277.11,9.42
01/06/2013,266.82,31.54
01/07/2013,250.31,49.77
01/08/2013,230.08,48.79
01/09/2013,228.93,29.43
01/10/2013,148.78,20.60
01/11/2013,108.90,9.94
01/12/2013,82.85,1.66
01/01/2014,99.28,0.12
01/02/2014,127.48,0.00
01/03/2014,165.74,0.05
01/04/2014,220.39,0.70
01/05/2014,259.88,8.11
01/06/2014,290.71,40.45
01/07/2014,289.72,48.32
01/08/2014,254.50,42.42
01/09/2014,204.66,36.94
01/10/2014,157.29,27.12
01/11/2014,112.98,13.03
01/12/2014,75.48,1.48
01/01/2015,93.44,0.12
01/02/2015,137.53,0.00
01/03/2015,175.88,0.00
01/04/2015,232.73,0.62
01/05/2015,286.50,9.24
01/06/2015,268.11,36.06
01/07/2015,268.64,53.31
01/08/2015,270.39,45.60
01/09/2015,200.95,35.50
01/10/2015,154.44,13.47
01/11/2015,108.58,10.30
01/12/2015,73.56,2.16
01/01/2016,98.53,0.43
01/02/2016,117.51,0.04
01/03/2016,184.42,0.09
01/04/2016,238.12,3.55
01/05/2016,218.18,8.59
01/06/2016,302.43,27.35
01/07/2016,280.34,49.36
01/08/2016,266.77,47.18
01/09/2016,200.09,38.26
01/10/2016,165.50,23.08
01/11/2016,118.67,13.27
01/12/2016,86.46,1.84
01/01/2017,80.59,0.13
01/02/2017,129.20,0.10
01/03/2017,188.29,0.76
01/04/2017,226.46,1.99
01/05/2017,253.39,13.95
01/06/2017,297.43,30.01
01/07/2017,271.14,39.53
01/08/2017,249.59,44.88
01/09/2017,221.08,42.85
01/10/2017,167.24,26.10
01/11/2017,115.27,11.24
01/12/2017,82.13,1.41
01/01/2018,101.56,0.13
01/02/2018,109.39,0.05
01/03/2018,185.48,0.45
01/04/2018,226.87,0.81
01/05/2018,242.94,6.37
01/06/2018,271.22,37.86
01/07/2018,270.14,49.96
01/08/2018,248.46,32.14
01/09/2018,187.47,42.63
01/10/2018,166.25,24.15
01/11/2018,101.68,11.99
01/12/2018,81.55,1.26
01/01/2019,89.29,0.09
01/02/2019,119.09,0.04
01/03/2019,179.96,0.13
01/04/2019,232.55,1.45
01/05/2019,254.57,12.56
01/06/2019,276.84,37.88
01/07/2019,287.09,50.05
01/08/2019,262.93,50.02
01/09/2019,227.39,30.36
01/10/2019,153.19,14.64
01/11/2019,111.01,3.26
01/12/2019,77.35,0.82
01/01/2020,97.02,0.05
01/02/2020,121.55,0.13
01/03/2020,175.45,0.15
01/04/2020,212.47,3.16
01/05/2020,267.06,6.11
01/06/2020,278.08,23.39
01/07/2020,296.00,48.80
01/08/2020,228.30,43.56
01/09/2020,207.60,41.15
01/10/2020,158.40,26.05
01/11/2020,119.37,11.13
01/12/2020,87.97,2.05
01/01/2021,96.38,0.10
01/02/2021,116.29,0.01
01/03/2021,191.52,0.05
01/04/2021,239.76,2.36
01/05/2021,266.22,11.62
01/06/2021,282.96,26.31
01/07/2021,282.29,50.85
01/08/2021,235.00,43.39
01/09/2021,215.12,41.64
01/10/2021,161.39,31.88
01/11/2021,121.74,13.69
01/12/2021,83.42,1.57
01/01/2022,94.08,0.37
01/02/2022,139.85,0.02
01/03/2022,175.84,0.23
01/04/2022,243.82,2.49
01/05/2022,248.11,9.58
01/06/2022,296.62,31.85
01/07/2022,264.14,42.74
01/08/2022,271.78,46.51
01/09/2022,215.83,42.25
01/10/2022,159.86,24.58
01/11/2022,121.28,8.46
01/12/2022,89.92,2.49
01/01/2023,88.54,0.04
01/02/2023,130.86,0.16
01/03/2023,189.80,0.58
01/04/2023,239.56,1.62
01/05/2023,281.95,11.35
01/06/2023,272.12,27.72
01/07/2023,276.05,28.73
01/08/2023,253.19,51.92
01/09/2023,207.86,41.01
01/10/2023,177.02,19.33
01/11/2023,117.62,13.09
